variant_id,title_long,product_type,handle,color,store_name
12291,Bavincis Delight Gold And Black Edition Sunglasses,sunglasses,bavincis-delight-gold-and-black-edition-sunglasses,gold - black,Store_E
12292,Bavincis Delight Gold And Green Edition Sunglasses,sunglasses,bavincis-delight-black-and-green-edition-sunglasses,gold - green,Store_E
12293,Bavincis Delight Silver And Grey Gradient Edition Sunglasses,sunglasses,bavincis-delight-silver-and-grey-gradient-edition-sunglasses,silver - grey,Store_E
12294,Bavincis Deluxe Black And Black Edition Sunglasses,sunglasses,bavincis-deluxe-black-and-black-edition-sunglasses,black - black,Store_E
12295,Bavincis Deluxe Black And Brown Edition Sunglasses,sunglasses,bavincis-deluxe-black-and-brown-edition-sunglasses,black - brown,Store_E
12296,Bavincis Deluxe Black And Green Edition Sunglasses,sunglasses,bavincis-deluxe-black-and-green-edition-sunglasses,black - green,Store_E
12297,Bavincis Deluxe Blue And Candy Blue Edition Sunglasses,sunglasses,bavincis-deluxe-blue-and-candy-blue-edition-sunglasses,blue - blue,Store_E
12298,Bavincis Fixton Black And Black Edition Sunglasses,sunglasses,bavincis-fixton-transparent-and-candy-blue-edition-sunglasses-1,black - black,Store_E
12299,Bavincis Fixton Black And Blue Mercury Edition Sunglasses,sunglasses,bavincis-fixton-transparent-and-drak-blue-edition-sunglasses,black - blue,Store_E
12300,Bavincis Fixton Gold And Black Edition Sunglasses,sunglasses,bavincis-fixton-black-and-black-gradient-edition-sunglasses,gold - black,Store_E
12301,Bavincis Fixton White And Blue Mercury Edition Sunglasses,sunglasses,bavincis-fixton-transparent-and-candy-blue-edition-sunglasses,white - blue,Store_E
12302,Bavincis Flair Black And Black Edition Sunglasses,sunglasses,bavincis-flair-black-and-black-sports-edition-sunglasses,black - black,Store_E
12303,Bavincis Flair Black And Green Edition Sunglasses,sunglasses,bavincis-flair-black-and-green-edition-sunglasses,black - green,Store_E
12304,Bavincis Flair Black And Yellow Edition Sunglasses,sunglasses,bavincis-flair-black-and-yellow-edition-sunglasses,black - yellow,Store_E
12305,Bavincis Flair Brown And Brown Edition Sunglasses,sunglasses,bavincis-flair-brown-and-brown-edition-sunglasses,brown - brown,Store_E
12306,Bavincis Flair Brown And Yellow Edition Sunglasses,sunglasses,bavincis-flair-brown-and-yellow-edition-sunglasses,brown - yellow,Store_E
12307,Bavincis Fleets Gold And Black Edition Sunglasses,sunglasses,bavincis-fleets-gold-and-black-edition-sunglasses,gold - black,Store_E
12308,Bavincis Fleets Gold And Blue Mercury Edition Sunglasses,sunglasses,bavincis-fleets-gold-and-blue-mercury-edition-sunglasses-1,gold - blue,Store_E
12309,Bavincis Fleets Gold And Brown Gradient Edition Sunglasses,sunglasses,bavincis-fleets-gold-and-brown-gradient-edition-sunglasses,gold - brown,Store_E
12310,Bavincis Fleets Gold And Grey Gradient Edition Sunglasses,sunglasses,bavincis-fleets-gold-and-grey-gradient-edition-sunglasses,gold - grey,Store_E
12311,Bavincis Focal Black And Gold-Black Edition Sunglasses,sunglasses,bavincis-focal-black-and-gold-black-edition-sunglasses,black,Store_E
12312,Bavincis Focal Black And Silver-Black Edition Sunglasses,sunglasses,bavincis-focal-black-and-silver-black-edition-sunglasses,black,Store_E
12313,Bavincis Focal Black And Yellow Edition Sunglasses,sunglasses,bavincis-focal-black-and-yellow-edition-sunglasses,black - yellow,Store_E
12314,Bavincis Frientopia Black And Black Edition Sunglasses,sunglasses,bavincis-frientopia-black-and-black-edition-sunglasses,black - black,Store_E
12315,Bavincis Gemini Black And Black Edition Sunglasses,sunglasses,bavincis-gemini-black-and-black-edition-sunglasses,black - black,Store_E
12316,Bavincis Gemini Black And Black Edition Sunglasses,sunglasses,bavincis-gemini-black-and-black-edition-sunglasses-1,black - black,Store_E
12317,Bavincis Gemini Black And Blue Edition Sunglasses,sunglasses,bavincis-gemini-black-and-blue-edition-sunglasses-1,black - blue,Store_E
12318,Bavincis Gemini Black And Green Edition Sunglasses,sunglasses,bavincis-gemini-black-and-green-edition-sunglasses,black - green,Store_E
12319,Bavincis Gemini Black And White AntiRay Edition Sunglasses,sunglasses,bavincis-gemini-black-and-light-blue-edition-sunglasses,black - white,Store_E
12320,Bavincis Gemini Black And Yellow Edition Sunglasses,sunglasses,bavincis-gemini-black-and-yellow-edition-sunglasses,black - yellow,Store_E
12321,Bavincis Gemini Gold And Black Edition Sunglasses,sunglasses,bavincis-gemini-gold-and-black-edition-sunglasses,gold - black,Store_E
12322,Bavincis Gemini Gold And Blue Gradient Edition Sunglasses,sunglasses,bavincis-gemini-gold-and-blue-gradient-edition-sunglasses,gold - blue,Store_E
12323,Bavincis Gemini Gold And Brown Gradient Edition Sunglasses,sunglasses,bavincis-gemini-gold-and-brown-gradient-edition-sunglasses,gold - brown,Store_E
12324,Bavincis Gemini Gold And Green Candy Edition Sunglasses,sunglasses,bavincis-gemini-gold-and-green-candy-edition-sunglasses,gold - green,Store_E
12325,Bavincis Gemini Gold And Green Edition Sunglasses,sunglasses,bavincis-gemini-gold-and-green-edition-sunglasses,gold - green,Store_E
12326,Bavincis Gemini Gold And Green Gradient Edition Sunglasses,sunglasses,bavincis-gemini-gold-and-green-gradient-edition-sunglasses,gold - green,Store_E
12327,Bavincis Gemini Silver And Black Edition Sunglasses,sunglasses,bavincis-gemini-silver-and-black-edition-sunglasses,silver - black,Store_E
12328,Bavincis Gemini silver and White AntiRay Edition Sunglasses,sunglasses,bavincis-gemini-black-and-silver-light-blue-edition-sunglasses,silver - white,Store_E
12329,Bavincis Glance Gold And Grey-Yellow Gradient Edition Sunglasses,sunglasses,bavincis-gance-gold-and-grey-yellow-gradient-edition-sunglasses,gold,Store_E
12330,Bavincis Glance Silver And Blue Gradient Edition Sunglasses,sunglasses,bavincis-gance-silver-and-blue-gradient-edition-sunglasses,silver - blue,Store_E
12331,Bavincis Glance Silver And Green Edition Sunglasses,sunglasses,bavincis-gance-black-and-black-edition-sunglasses,silver - green,Store_E
12332,Bavincis Gracia Black And Black Edition Sunglasses,sunglasses,bavincis-gracia-black-and-black-edition-sunglasses,black - black,Store_E
12333,Bavincis Gracia Gold And Black Edition Sunglasses,sunglasses,bavincis-gracia-gold-and-black-edition-sunglasses,gold - black,Store_E
12334,Bavincis Gracia Gold And Green Edition Sunglasses,sunglasses,bavincis-gracia-gold-and-green-edition-sunglasses,gold - green,Store_E
12335,Bavincis Gracia Silver  And Grey Gradient Edition Sunglasses,sunglasses,bavincis-gracia-silver-and-grey-gradient-edition-sunglasses,silver - grey,Store_E
12336,Bavincis Gracy T Brown And Gradient Brown Edition sunglasses,sunglasses,bavincis-gracy-t-brown-and-gradient-brown-edition-sunglasses,brown - brown,Store_E
12337,Bavincis Gracy T Brown And Green Edition Sunglasses,sunglasses,bavincis-gracy-t-brown-and-green-edition-sunglasses,brown - green,Store_E
12338,Bavincis Groovi Brown And Brown Edition Sunglasses,sunglasses,bavincis-groovi-brown-and-brown-edition-sunglasses,brown - brown,Store_E
12339,Bavincis Hunter Black And Black Edition Sunglasses,sunglasses,bavincis-hunter-gold-and-black-edition-sunglasses,black - black,Store_E
12340,Bavincis Hunter Gold  And Black Edition Sunglasses,sunglasses,bavincis-hunter-black-and-gold-edition-sunglasses-1,gold - black,Store_E
12341,Bavincis hunter Gold And Pink Edition Sunglasses,sunglasses,bavincis-hunter-gold-and-pink-edition-sunglasses,gold - pink,Store_E
12342,Bavincis Hunter Green And Gold Edition Sunglasses,sunglasses,bavincis-hunter-green-and-gold-edition-sunglasses,green - gold,Store_E
12343,Bavincis hunter Silver And Black Edition Sunglasses,sunglasses,bavincis-hunter-black-and-silver-edition-sunglasses,silver - black,Store_E
12344,Bavincis Hunter Silver And Blue Mercury Edition Sunglasses,sunglasses,bavincis-hunter-silver-and-blue-edition-sunglasses,silver - blue,Store_E
12345,Bavincis Hunter Silver And Silver Mercury Edition Sunglasses,sunglasses,bavincis-hunter-silver-and-silver-edition-sunglasses,silver - silver,Store_E
12346,Bavincis Joyce Black And Black Edition sunglasses,sunglasses,bavincis-joyce-matt-black-and-black-edition-sunglasses,black - black,Store_E
12347,Bavincis Joyce Rose Gold And Blue Gradient Edition sunglasses,sunglasses,bavincis-joyce-gold-and-blue-gradient-edition-sunglasses,rose - gold - blue,Store_E
12348,Bavincis Joyce Rose Gold And Brown Gradient Edition sunglasses,sunglasses,bavincis-joyce-brown-and-brown-gradient-edition-sunglasses-1,rose - gold - brown,Store_E
12349,Bavincis Joyce Rose Gold And Grey Gradient Edition sunglasses,sunglasses,bavincis-joyce-rose-gold-and-grey-gradient-edition-sunglasses,rose - gold - grey,Store_E
12350,Bavincis Joyce T.Gold And Brown Edition sunglasses,sunglasses,bavincis-joyce-t-gold-and-brown-edition-sunglasses,brown,Store_E
12351,Bavincis Joyce T.Gold And Green Edition sunglasses,sunglasses,bavincis-joyce-t-gold-and-green-edition-sunglasses,green,Store_E
12352,Bavincis Karma Black And Black Edition Sunglasses,sunglasses,bavincis-karma-black-and-black-edition-sunglasses,black - black,Store_E
12353,Bavincis Karma Black And Green Edition Sunglasses,sunglasses,bavincis-karma-black-and-green-edition-sunglasses,black - green,Store_E
